,ano,cnae_secao,Estado,ativo_problematico_deflacionado
516,2012,PJ - Indústrias de transformação,PIAUÍ,45182627.71881883
517,2012,PJ - Indústrias extrativas,PIAUÍ,406914.73921818123
518,2012,PJ - Informação e comunicação,PIAUÍ,2357685.3057635594
519,2012,PJ - Outras atividades de serviços,PIAUÍ,22861441.205193304
520,2012,PJ - Saúde humana e serviços sociais,PIAUÍ,20139698.16648198
521,2012,"PJ - Transporte, armazenagem e correio",PIAUÍ,13332276.307602309
522,2012,"PJ - Água, esgoto, atividades de gestão de resíduos e descontaminação",PIAUÍ,432728.72111007635
523,2012,"PJ - Administração pública, defesa e seguridade social",PARANÁ,1705575.8462933605
524,2012,"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",PARANÁ,127994966.56158698
525,2012,PJ - Alojamento e alimentação,PARANÁ,153064341.2745595
526,2012,"PJ - Artes, cultura, esporte e recreação",PARANÁ,12037585.365039883
527,2012,PJ - Atividades administrativas e serviços complementares,PARANÁ,269891319.0756438
528,2012,"PJ - Atividades financeiras, de seguros e serviços relacionados",PARANÁ,43652108.33847864
529,2012,PJ - Atividades imobiliárias,PARANÁ,38359455.3977205
530,2012,"PJ - Atividades profissionais, científicas e técnicas",PARANÁ,157782672.00103238
531,2012,PJ - Comércio; reparação de veículos automotores e motocicletas,PARANÁ,2203027865.421436
532,2012,PJ - Construção,PARANÁ,398637851.51235014
533,2012,PJ - Educação,PARANÁ,45760807.19148669
534,2012,PJ - Eletricidade e gás,PARANÁ,1130093.4720672322
535,2012,PJ - Indústrias de transformação,PARANÁ,1866647390.0041595
