,Unnamed: 0,ano,cliente,uf,ocupacao,ativo_problematico,coluna_estado
6706,26,2021,PF,AP,PF - Empregado de empresa privada,28344523.54,AMAPÁ
6714,34,2021,PF,BA,PF - Empregado de empresa privada,1266296403.84,BAHIA
6722,42,2021,PF,CE,PF - Empregado de empresa privada,593148236.42,CEARÁ
6730,50,2021,PF,DF,PF - Empregado de empresa privada,726166052.65,DISTRITO FEDERAL
6738,58,2021,PF,ES,PF - Empregado de empresa privada,479626561.09,ESPÍRITO SANTO
6746,66,2021,PF,GO,PF - Empregado de empresa privada,1571329985.05,GOIÁS
6754,74,2021,PF,MA,PF - Empregado de empresa privada,374824600.84000003,MARANHÃO
6762,82,2021,PF,MG,PF - Empregado de empresa privada,2575910216.46,MINAS GERAIS
6770,90,2021,PF,MS,PF - Empregado de empresa privada,569509980.31,MATO GROSSO DO SUL
6778,98,2021,PF,MT,PF - Empregado de empresa privada,690886448.33,MATO GROSSO
6786,106,2021,PF,PA,PF - Empregado de empresa privada,491665514.55,PARÁ
6794,114,2021,PF,PB,PF - Empregado de empresa privada,272526208.51,PARAÍBA
6802,122,2021,PF,PE,PF - Empregado de empresa privada,838719969.24,PERNAMBUCO
6810,130,2021,PF,PI,PF - Empregado de empresa privada,157066883.87,PIAUÍ
6818,138,2021,PF,PR,PF - Empregado de empresa privada,2395666964.36,PARANÁ
6826,146,2021,PF,RJ,PF - Empregado de empresa privada,3322288930.57,RIO DE JANEIRO
6834,154,2021,PF,RN,PF - Empregado de empresa privada,317514974.28000003,RIO GRANDE DO NORTE
6842,162,2021,PF,RO,PF - Empregado de empresa privada,126608193.97,RONDÔNIA
6850,170,2021,PF,RR,PF - Empregado de empresa privada,25487947.419999998,RORAIMA
6858,178,2021,PF,RS,PF - Empregado de empresa privada,2005262343.29,RIO GRANDE DO SUL
6866,186,2021,PF,SC,PF - Empregado de empresa privada,1460564741.99,SANTA CATARINA
6874,194,2021,PF,SE,PF - Empregado de empresa privada,165107922.12,SERGIPE
